caseid,srv_spend,campfin,immig_legal,immig_numb,equalpay,parleave,crimespend,death,terror_worry,minwage,healthspend,childcare,getahead,freetrade
327,4,7,3,3,1,2,2,7,1,1,4,3,3,4
328,4,7,2,4,5,3,3,1,4,1,4,4,3,5
329,997,4,4,4,4,4,4,4,5,1,4,4,2,4
330,5,2,1,2,1,2,2,6,4,1,2,2,4,2
331,1,5,2,6,2,4,3,1,9,2,2,2,4,3
332,7,1,2,5,1,2,4,5,2,1,2,2,3,5
333,2,7,2,4,6,5,4,2,3,4,4,4,3,3
334,6,1,2,6,1,1,4,2,2,1,1,2,3,7
335,7,5,6,7,1,1,3,2,9,1,2,3,5,5
336,1,4,2,4,7,7,7,6,4,4,7,7,4,1
337,1,7,3,6,7,7,7,1,9,3,7,7,5,1
338,1,4,2,4,1,6,4,1,9,2,6,7,1,7
339,3,1,4,4,4,4,3,3,9,1,3,4,4,4
340,7,1,4,2,1,1,1,7,4,1,1,1,4,3
341,7,7,7,7,1,1,1,7,9,1,1,1,3,7
342,7,6,2,5,1,1,1,1,2,1,1,1,2,5
343,4,1,4,4,1,6,2,1,1,2,4,4,5,4
344,1,7,4,4,3,4,4,1,2,2,7,7,4,6
345,6,1,1,3,1,1,4,6,4,1,1,1,2,6
346,3,1,2,4,2,2,2,2,9,1,2,2,3,6
347,4,2,4,4,2,3,4,4,4,2,4,5,2,4
348,7,1,3,3,1,1,2,7,9,1,1,1,2,5
349,3,1,2,6,1,2,3,1,2,2,4,4,3,5
350,3,1,2,4,1,3,4,4,3,1,7,4,3,4
351,6,1,1,1,1,1,4,7,3,1,1,1,2,2
352,1,7,1,6,1,7,7,1,1,2,7,7,5,4
353,5,1,7,4,5,3,4,4,1,1,5,5,3,6
354,5,4,3,4,1,1,1,3,5,1,3,2,3,1
355,997,2,3,5,1,2,3,1,4,1,4,4,2,4
356,2,4,5,5,2,4,4,4,2,3,4,4,2,3
357,5,1,2,4,5,5,4,2,9,1,2,2,3,1
358,1,7,2,1,7,7,3,3,2,4,7,7,3,2
359,5,3,4,4,3,2,3,3,9,1,3,4,3,3
360,3,2,2,3,2,1,5,3,9,2,4,4,3,1
361,7,1,7,7,7,1,5,1,3,1,1,4,1,4
