caseid,lazyb,lazyw,lazyh,lazym
1176,5,5,5,5
1177,3,4,4,4
1178,2,2,1,5
1179,5,5,5,5
1180,5,5,5,5
1181,1,1,1,1
1182,5,5,5,5
1183,2,3,1,4
1184,3,3,3,3
1185,5,5,5,5
1186,4,3,5,4
1187,5,1,5,5
1188,3,3,2,3
1189,2,4,4,4
1190,1,4,1,1
1191,5,5,5,5
1192,5,5,5,5
1193,4,4,5,4
1194,3,3,3,3
1195,3,3,5,3
1196,4,4,4,4
1197,3,4,5,3
1198,5,5,5,5
1199,3,2,3,3
1200,3,3,3,3
