caseid,terror_worry,terror_12mo,terror_local,syrians_b,pc_a,pc_b
531,3,9,3,7,9,4
532,4,4,5,1,4,9
533,9,1,3,9,3,9
534,9,3,3,9,4,9
535,9,2,3,4,9,3
536,9,1,3,7,4,9
537,9,5,5,9,9,3
538,1,1,1,9,1,9
539,9,4,5,1,2,9
540,9,3,5,5,9,3
541,9,2,1,4,4,9
542,9,5,5,9,4,9
543,4,4,5,5,9,2
544,4,9,5,9,9,4
545,1,9,1,7,3,9
546,5,5,5,2,2,9
547,4,4,5,9,3,9
548,9,4,5,9,4,9
549,1,3,3,9,9,1
550,1,9,4,9,9,3
551,3,4,4,3,9,4
552,2,3,4,9,2,9
553,2,2,4,6,9,9
554,9,3,5,1,9,2
555,1,9,1,9,4,9
556,9,1,5,9,4,9
557,1,2,1,7,4,9
558,9,2,4,9,9,4
559,3,5,5,2,9,1
560,2,9,5,7,9,3
561,2,9,4,9,9,1
562,3,4,2,9,8,9
563,1,4,5,9,4,9
564,5,5,5,7,9,4
565,4,5,5,3,2,9
566,2,9,3,9,3,9
567,1,9,4,7,9,3
568,2,3,5,3,2,9
569,2,9,2,1,1,9
570,1,1,5,9,4,9
571,2,9,3,9,3,9
572,9,4,3,7,9,4
573,3,9,3,9,2,9
574,9,4,5,2,9,4
575,3,9,3,9,4,9
576,4,9,5,2,9,2
577,1,9,4,9,9,4
578,2,9,3,9,9,3
579,2,3,4,7,9,4
580,9,1,1,9,9,2
581,5,9,5,9,4,9
582,2,2,2,5,4,9
583,9,1,5,9,9,4
584,9,5,5,5,9,4
585,9,3,4,6,2,9
586,4,4,4,1,1,9
587,5,4,5,9,1,9
588,9,4,5,9,9,3
589,9,5,5,9,9,2
590,9,2,3,4,1,9
591,1,1,5,7,9,4
592,9,2,1,9,9,1
593,9,5,5,9,1,9
594,1,9,5,9,4,9
595,9,1,5,5,4,9
596,9,3,4,9,2,9
597,3,4,4,4,9,2
598,9,4,5,1,2,9
599,5,1,5,3,4,9
600,1,9,3,6,4,9
601,9,2,5,5,3,9
602,3,9,3,9,9,2
603,3,4,5,9,9,2
604,5,5,5,9,1,9
605,5,4,5,5,9,1
606,2,9,5,9,9,4
607,1,2,5,7,9,4
608,5,9,5,9,4,9
609,9,1,1,9,9,2
610,1,1,1,1,1,9
611,1,2,1,9,9,3
612,1,4,1,4,2,9
613,5,9,5,2,9,2
614,9,3,3,4,2,9
615,9,4,4,4,9,2
616,3,9,5,4,3,9
617,3,9,3,9,2,9
618,4,3,5,9,2,9
619,9,3,3,4,1,9
620,9,5,5,9,9,3
621,1,3,5,7,4,9
622,9,4,5,1,9,1
623,9,2,3,9,9,2
624,9,3,3,9,9,2
625,3,3,3,4,9,3
626,4,4,5,9,3,9
627,9,2,3,9,9,4
628,9,3,2,9,9,4
629,1,1,1,7,4,9
630,9,4,4,5,9,2
631,3,9,3,9,4,9
632,3,4,4,5,3,9
633,3,4,5,3,9,4
634,9,1,3,9,1,9
635,3,9,3,9,4,9
636,5,9,5,9,2,9
637,5,9,5,7,9,4
638,9,4,4,7,4,9
639,2,1,3,4,1,9
640,1,9,2,9,9,1
641,9,3,3,4,9,3
642,9,5,5,9,4,9
643,2,9,1,9,2,9
644,5,9,5,7,9,1
645,9,2,2,4,9,3
646,9,3,3,9,9,2
647,9,5,5,5,4,9
648,5,9,5,5,2,9
649,4,4,5,2,4,9
650,4,9,5,9,9,2
651,3,4,4,9,9,3
652,3,9,3,9,9,3
653,2,3,4,9,3,9
654,4,4,4,4,9,4
655,5,5,5,2,4,9
656,9,2,5,9,9,1
657,9,3,5,5,4,9
658,2,2,5,9,9,4
659,2,3,2,5,1,9
660,9,3,5,9,4,9
661,1,1,1,9,9,1
662,4,9,5,6,9,4
663,4,9,5,4,9,2
664,3,9,4,5,9,2
665,2,9,5,9,4,9
666,1,2,2,7,9,4
667,2,9,3,9,1,9
668,4,9,5,4,2,9
669,3,9,2,3,9,2
670,9,2,4,9,9,4
671,2,9,3,6,9,3
672,4,3,4,9,2,9
673,9,4,5,9,9,3
674,9,4,5,4,3,9
675,4,4,5,1,9,2
676,9,4,4,2,3,9
677,2,9,4,7,9,3
678,3,2,3,3,9,3
679,9,1,1,9,2,9
680,1,2,3,9,3,9
681,1,9,1,9,9,3
682,9,3,4,7,9,4
683,3,9,3,9,3,9
684,4,4,5,9,3,9
685,9,4,5,2,4,9
686,5,4,5,3,9,4
687,3,9,3,9,2,9
688,2,2,5,9,9,4
689,9,4,5,7,9,1
690,1,2,3,7,2,9
691,5,3,5,3,2,9
692,3,9,1,9,9,2
693,3,2,5,7,9,4
694,3,9,5,5,1,9
695,9,4,5,3,3,9
696,9,2,3,7,4,9
697,1,9,1,9,2,9
698,3,9,5,7,9,4
699,5,9,5,7,9,4
700,9,3,2,7,9,4
701,9,1,2,9,9,2
702,4,9,3,4,9,3
703,9,1,4,9,3,9
704,5,5,5,9,9,4
705,9,3,3,9,9,1
706,4,9,5,9,9,1
707,3,2,3,9,2,9
708,3,9,4,9,3,9
709,3,9,5,7,2,9
710,9,1,3,9,3,9
711,9,4,5,9,9,3
712,3,9,4,9,9,4
713,9,4,5,6,9,3
714,2,3,3,9,9,3
715,9,4,4,4,2,9
716,1,3,4,9,9,4
717,1,3,1,7,1,9
718,3,3,2,5,9,2
719,4,4,5,7,4,9
720,4,4,5,4,9,1
721,1,1,3,7,4,9
722,9,3,4,9,2,9
723,1,9,4,9,9,4
724,9,5,3,7,9,4
725,9,4,3,1,1,9
726,5,9,5,7,9,4
727,2,9,3,6,3,9
728,9,3,2,9,1,9
729,9,4,4,9,9,2
730,1,1,1,9,4,9
731,4,9,5,9,3,9
732,9,4,4,9,9,4
733,9,1,2,1,9,1
734,9,5,5,7,9,4
735,9,1,4,9,4,9
736,9,1,2,9,9,3
737,2,4,5,7,4,9
738,4,3,4,2,9,1
739,4,9,4,3,4,9
740,4,9,4,9,2,9
741,3,9,5,9,4,9
742,4,9,5,9,3,9
743,3,4,4,9,9,3
744,1,9,1,9,3,9
745,9,4,4,9,4,9
746,1,2,3,5,9,3
747,5,4,5,9,3,9
748,9,2,3,9,3,9
749,1,1,1,6,9,4
750,3,3,4,5,9,3
751,9,4,4,9,9,2
752,9,2,5,6,4,9
753,2,9,1,4,4,9
754,3,9,4,9,9,2
755,9,5,5,2,2,9
756,9,3,3,9,3,9
757,9,5,5,9,9,2
758,4,5,5,5,9,3
759,3,9,4,9,3,9
760,3,9,5,9,3,9
761,2,3,4,7,4,9
762,9,3,2,5,9,4
763,2,2,4,9,9,3
764,1,2,4,9,9,1
765,4,9,4,7,9,4
766,9,3,4,1,3,9
767,1,1,1,4,9,1
768,3,3,3,9,9,3
769,9,5,5,4,9,2
770,4,4,5,9,4,9
771,5,9,5,9,1,9
772,3,9,3,4,3,9
773,9,2,1,9,1,9
774,9,3,3,3,9,3
775,3,9,3,4,2,9
776,1,9,1,9,9,4
777,3,9,4,9,4,9
778,4,9,5,9,4,9
779,4,9,5,6,4,9
780,4,4,4,9,3,9
781,1,9,2,9,1,9
782,1,2,4,9,9,4
783,3,3,4,9,4,9
784,4,9,5,1,4,9
785,3,3,5,9,4,9
786,2,1,4,3,3,9
787,3,3,3,4,9,2
788,3,4,5,3,9,2
789,5,9,5,7,4,9
790,3,9,4,4,9,2
791,3,3,3,8,4,9
792,2,1,5,9,9,4
793,9,1,3,9,9,4
794,9,2,3,9,1,9
795,2,5,2,4,1,9
796,9,2,3,9,9,4
797,9,2,4,4,9,2
798,4,9,4,2,3,9
799,5,9,3,1,9,1
800,9,2,3,9,9,4
801,9,3,4,4,9,3
