caseid,meet,givefut,info,march,sign,give12mo
930,4,4,5,1,2,2
931,1,5,5,2,2,2
932,5,5,5,2,2,2
933,5,5,5,2,2,2
934,5,5,5,2,1,2
935,5,5,5,2,2,2
936,5,5,5,2,2,2
937,4,2,3,2,2,1
938,3,4,5,2,2,2
939,5,5,4,2,2,2
940,3,5,4,2,2,2
941,3,3,3,1,1,2
942,5,4,5,2,2,2
943,3,2,3,2,2,1
944,3,3,3,1,1,1
945,5,5,4,2,2,2
946,5,5,5,2,2,2
947,4,5,4,2,2,2
948,4,3,3,2,2,2
949,5,5,5,2,2,2
950,5,4,5,2,2,2
951,3,2,2,1,2,1
952,1,1,1,1,1,2
953,4,4,5,2,2,2
954,3,4,1,2,2,2
955,2,1,3,1,2,1
956,4,5,4,2,2,2
957,5,5,5,2,2,2
958,4,5,5,2,1,2
959,5,4,5,2,2,2
960,5,5,5,2,2,2
961,4,4,4,2,2,2
962,4,5,5,2,1,2
963,5,5,1,2,2,2
964,3,2,3,2,2,2
965,3,4,4,2,2,2
966,3,3,3,2,2,2
967,3,4,3,2,2,2
968,3,5,5,1,2,2
969,1,1,1,1,1,2
970,2,3,4,1,2,2
971,2,2,1,2,2,2
972,3,3,3,2,2,2
973,1,4,2,2,1,2
974,1,3,5,2,2,1
975,2,2,1,1,1,2
976,1,1,1,2,1,1
977,2,2,3,2,1,1
978,3,2,5,2,2,1
979,1,5,3,2,2,2
980,1,1,1,1,1,1
981,4,1,2,2,1,1
982,5,5,5,2,2,2
983,5,4,5,2,2,2
984,2,2,2,2,1,2
985,5,5,5,2,2,2
986,2,5,4,2,2,2
987,1,1,3,2,1,1
988,2,2,2,1,2,1
989,5,4,4,2,2,2
990,3,2,3,2,2,2
991,3,3,3,1,2,2
