caseid,violentb,violentw,violenth,violentm
1098,4,4,4,1
1099,5,5,5,5
1100,2,1,1,3
1101,4,4,4,3
1102,1,3,2,1
1103,1,3,3,1
1104,1,3,3,1
1105,5,5,4,4
1106,4,4,4,4
1107,5,5,5,5
1108,3,4,3,3
1109,2,3,4,4
1110,2,2,2,2
1111,1,4,4,2
1112,5,5,5,5
1113,5,5,5,5
1114,4,4,4,5
1115,5,5,5,5
1116,4,5,4,3
1117,4,4,4,1
1118,4,5,4,5
1119,5,5,5,5
1120,3,3,4,1
1121,5,5,5,5
1122,3,3,3,1
1123,4,5,4,3
1124,4,4,4,4
1125,5,3,5,5
1126,5,5,5,5
1127,4,3,5,5
1128,5,5,5,3
1129,4,4,5,4
1130,2,1,4,4
1131,4,4,4,4
1132,3,3,3,3
1133,2,4,2,1
1134,5,4,5,5
1135,3,2,3,4
1136,3,4,3,3
1137,3,3,3,3
1138,4,4,5,4
1139,3,3,3,3
1140,2,4,3,2
1141,3,5,3,3
1142,3,3,4,3
1143,1,4,4,1
1144,5,5,5,5
1145,4,4,4,4
1146,3,4,4,3
1147,4,4,4,4
1148,3,1,3,3
1149,4,3,4,1
1150,5,4,5,5
1151,2,3,5,2
1152,2,4,4,2
1153,5,5,5,5
1154,3,3,5,3
1155,5,3,5,5
1156,1,1,1,2
1157,3,2,3,2
1158,4,4,4,4
1159,4,4,4,4
1160,5,5,5,5
1161,4,4,5,4
1162,3,8,8,2
1163,3,4,5,3
1164,5,4,5,5
1165,5,5,5,5
1166,5,5,5,4
1167,3,3,3,2
1168,4,4,4,4
1169,1,2,1,3
1170,1,1,1,1
1171,4,3,4,5
1172,4,4,4,4
1173,5,5,5,5
1174,3,4,4,3
1175,5,3,5,5
1176,4,1,4,4
1177,2,4,4,1
1178,1,2,2,1
1179,5,4,5,5
1180,5,5,5,5
1181,1,1,1,1
1182,4,4,4,5
1183,2,4,3,4
1184,2,2,2,1
1185,5,5,5,5
1186,4,2,5,4
1187,5,4,5,5
1188,5,3,3,4
1189,1,4,2,2
1190,1,4,1,1
1191,5,5,5,5
1192,5,5,5,5
1193,3,3,3,3
1194,2,1,3,4
1195,3,4,5,5
1196,4,4,4,3
1197,3,4,4,3
1198,5,5,5,5
1199,3,3,3,3
1200,3,3,3,3
